object_id,bundle_id,section_code,crc32,page_id,page_number,page_size_key,element_count,text_count,line_count,frame_count,image_count,table_count,page_signature,page_signature_source
1724_25,doc_5efb363f,ИОС5.1,5EFB363F,doc_5efb363f_p_10,10,595.3x841.9r0,73,59,0,13,1,0,84faf1093c6e2efcc683ab508fdfeb2074f8c20f,size:595.3x841.9r0|elements:73|text:59|lines:0|frames:13|images:1|tables:0|groups:frames:13:23321.6:0.0:0:0;images:1:500233.1:0.0:0:0;lines:0:0.0:0.0:0:0;other_vector:0:0.0:0.0:0:0;tables:0:0.0:0.0:0:0;text:59:216704.0:0.0:0:0
1724_25,doc_5efb363f,ИОС5.1,5EFB363F,doc_5efb363f_p_11,11,595.3x841.9r0,67,53,0,12,1,1,10e702ed9c719c6f97dce74631517c8144e809f5,size:595.3x841.9r0|elements:67|text:53|lines:0|frames:12|images:1|tables:1|groups:frames:12:16375.0:0.0:0:0;images:1:500888.4:0.0:0:0;lines:0:0.0:0.0:0:0;other_vector:0:0.0:0.0:0:0;tables:1:152148.5:0.0:1:22;text:53:162493.0:0.0:0:0
1724_25,doc_5efb363f,ИОС5.1,5EFB363F,doc_5efb363f_p_12,12,595.3x841.9r0,85,72,0,12,1,0,0666e4554802172aedfe8b7d814ce293ec53ec2c,size:595.3x841.9r0|elements:85|text:72|lines:0|frames:12|images:1|tables:0|groups:frames:12:16375.0:0.0:0:0;images:1:499188.8:0.0:0:0;lines:0:0.0:0.0:0:0;other_vector:0:0.0:0.0:0:0;tables:0:0.0:0.0:0:0;text:72:212529.9:0.0:0:0
1724_25,doc_5efb363f,ИОС5.1,5EFB363F,doc_5efb363f_p_13,13,595.3x841.9r0,54,39,0,14,1,0,e3a7b6a4bcfd0cec47b70af5b966723bcda7b9ba,size:595.3x841.9r0|elements:54|text:39|lines:0|frames:14|images:1|tables:0|groups:frames:14:37102.0:0.0:0:0;images:1:501781.2:0.0:0:0;lines:0:0.0:0.0:0:0;other_vector:0:0.0:0.0:0:0;tables:0:0.0:0.0:0:0;text:39:110315.5:0.0:0:0
1724_25,doc_5efb363f,ИОС5.1,5EFB363F,doc_5efb363f_p_14,14,1191.0x842.0r270,1245,158,791,4,2,2,9c3312cd058baf0ca67e85391686758efeb16093,size:1191.0x842.0r270|elements:1245|text:158|lines:791|frames:4|images:2|tables:2|groups:frames:4:2042799.7:0.0:0:0;images:2:18985.0:0.0:0:0;lines:791:25517.4:4539.1:0:0;other_vector:288:2071.3:0.0:0:0;tables:2:751601.1:0.0:2:187;text:158:53247.8:0.0:0:0
1724_25,doc_5efb363f,ИОС5.1,5EFB363F,doc_5efb363f_p_15,15,1191.0x842.0r270,1224,187,507,3,2,3,f6e7db9e92072f35e250fcc8088dfc3524ce3365,size:1191.0x842.0r270|elements:1224|text:187|lines:507|frames:3|images:2|tables:3|groups:frames:3:285532.2:0.0:0:0;images:2:9418.9:0.0:0:0;lines:507:14871.5:3271.4:0:0;other_vector:522:1848.3:0.0:0:0;tables:3:376676.8:0.0:3:171;text:187:62194.3:0.0:0:0
1724_25,doc_5efb363f,ИОС5.1,5EFB363F,doc_5efb363f_p_16,16,1191.0x842.0r270,3178,173,2580,6,1,2,d50c03818f2dea1d20616bed04aec0531c692a55,size:1191.0x842.0r270|elements:3178|text:173|lines:2580|frames:6|images:1|tables:2|groups:frames:6:502188.3:0.0:0:0;images:1:652.3:0.0:0:0;lines:2580:32154.0:7220.0:0:0;other_vector:416:2255.5:0.0:0:0;tables:2:158453.6:0.0:2:61;text:173:47057.2:0.0:0:0
1724_25,doc_5efb363f,ИОС5.1,5EFB363F,doc_5efb363f_p_17,17,1191.0x842.0r270,2861,40,1315,4,1,2,5a6077d22aeee512177c1b2d6132c7e5f5e9ee43,size:1191.0x842.0r270|elements:2861|text:40|lines:1315|frames:4|images:1|tables:2|groups:frames:4:185007.7:0.0:0:0;images:1:652.3:0.0:0:0;lines:1315:194530.4:5334.1:0:0;other_vector:1499:7193.3:0.0:0:0;tables:2:89636.5:0.0:2:66;text:40:24458.2:0.0:0:0
1724_25,doc_5efb363f,ИОС5.1,5EFB363F,doc_5efb363f_p_18,18,1191.0x842.0r270,1380,65,537,4,1,2,cf1e28b30259ece810cf6c89b3da42c5e56eb7d8,size:1191.0x842.0r270|elements:1380|text:65|lines:537|frames:4|images:1|tables:2|groups:frames:4:24792.8:0.0:0:0;images:1:652.3:0.0:0:0;lines:537:186764.2:2667.2:0:0;other_vector:771:4758.8:0.0:0:0;tables:2:110277.5:0.0:2:81;text:65:57553.4:0.0:0:0
1724_25,doc_5efb363f,ИОС5.1,5EFB363F,doc_5efb363f_p_19,19,1191.0x842.0r270,808,52,420,4,1,2,39d0d92dcb3b1775ec2375cc769b938a12f3107a,size:1191.0x842.0r270|elements:808|text:52|lines:420|frames:4|images:1|tables:2|groups:frames:4:185964.2:0.0:0:0;images:1:652.3:0.0:0:0;lines:420:190323.3:3716.7:0:0;other_vector:329:5326.3:0.0:0:0;tables:2:98818.9:0.0:2:72;text:52:45467.3:0.0:0:0
