signature_type,signature,occurrence_count,document_count,object_count,sections,objects,documents
table_content,08755969050313f07f8206043e274ac2d4869981,2,2,1,ИОС5.1|ИОС5.5.1,1724_25,1724_25:doc_48ee9de4|1724_25:doc_5efb363f
table_content,0dc5c4c33142008a887f364a5ef5b2ec3254851b,2,2,2,ИОС5.5.1,1724_25|1725_25,1724_25:doc_48ee9de4|1725_25:doc_3555e5a4
table_content,174cfbe3e5aafb6309dbed1e587cd1ac4091f010,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
table_content,207278db25270484cc118317eedd2341036cf696,2,2,2,ИОС5.1,1724_25|1725_25,1724_25:doc_5efb363f|1725_25:doc_726dfa3d
table_content,21c2b402ab4cf75e36b655807aebd9620675a49a,2,2,2,ИОС5.4.1,1724_25|1725_25,1724_25:doc_c8e972bf|1725_25:doc_10be5f2b
table_content,275a7b19b3e7e9aefe0992e48d01bdc771a02dd2,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
table_content,2a840fdf6794729c73202338205eb5122f220a01,2,2,2,ИОС5.4.1,1724_25|1725_25,1724_25:doc_c8e972bf|1725_25:doc_10be5f2b
table_content,3dba80d1f42e42ad5c7126f28fa5132b0b211d16,2,2,2,ИОС5.1,1724_25|1725_25,1724_25:doc_5efb363f|1725_25:doc_726dfa3d
table_content,438fd2b1510fa2ca6d2df346c53d515af84717f4,2,2,2,ИОС5.1,1724_25|1725_25,1724_25:doc_5efb363f|1725_25:doc_726dfa3d
table_content,4bc72d0bd8c311496dbef4f58607103e326388dd,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
table_content,4fe6d1d360f7e815da9318089a2e75b3df642de8,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
table_content,521dc81fb4c10bc27141e74c44053d70c06acce9,2,2,2,КР,1724_25|1725_25,1724_25:doc_a624e984|1725_25:doc_93cc45b2
table_content,53df78d309fb73c047c95e53b570b27391f90e28,2,2,2,КР,1724_25|1725_25,1724_25:doc_a624e984|1725_25:doc_93cc45b2
table_content,552f27a54f98c7f5bf0bb3b8ba5e8974317946bd,2,2,1,ИОС5.1|ИОС5.5.1,1724_25,1724_25:doc_48ee9de4|1724_25:doc_5efb363f
table_content,564c475e5b92aa305bae463cc12b8d7de486e467,2,2,2,ИОС5.4.1,1724_25|1725_25,1724_25:doc_c8e972bf|1725_25:doc_10be5f2b
table_content,590eb5f0e06c6702dbdd2046215e4c3d980150a0,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
table_content,5b92a90924916861d3ceafaf2012c641e40cbb9b,2,2,2,ИОС5.5.1,1724_25|1725_25,1724_25:doc_48ee9de4|1725_25:doc_3555e5a4
table_content,5dd9b2679d3a5c9a6daf0cbdfd14a57d40395082,2,2,2,ИОС5.1,1724_25|1725_25,1724_25:doc_5efb363f|1725_25:doc_726dfa3d
table_content,5e04dd2db03a2c5a1264202dfda096aa57ce063a,2,2,2,ИОС5.5.1,1724_25|1725_25,1724_25:doc_48ee9de4|1725_25:doc_3555e5a4
table_content,67e6cc5fcb7dd5ea82d26ecd0d297796bd07cc1d,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
table_content,68bbfd7e49d02533c4c18ba76a4643f93b26d74b,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
table_content,6d7859abac1dd1453050523a4500753c55be1736,2,2,2,ИОС5.1,1724_25|1725_25,1724_25:doc_5efb363f|1725_25:doc_726dfa3d
table_content,6e78fa2080b7215dcada273d6731ff82988b12cb,2,2,2,ПОКР,1724_25|1725_25,1724_25:doc_34536dc1|1725_25:doc_32fcaa56
table_content,7d3594f523f0010d8dfbefb687b8b6db150987b1,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
table_content,7d4323d5b44034ecb0ba12a0927e77673cb93f59,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
table_content,7e0f0332778de19a71dc7672ee4e0039869fe5f2,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
table_content,7e333200c9530edf71b361e7b024b4b1306332a6,2,2,2,АР,1724_25|1725_25,1724_25:doc_984f5a08|1725_25:doc_96e96f2d
table_content,7e8b718d9dbf4bb31cc792f548e53bc1586f39b7,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
table_content,85f8bf370f83f09fbdd3fbbd6622717568c0ef2b,2,2,2,ИОС5.1,1724_25|1725_25,1724_25:doc_5efb363f|1725_25:doc_726dfa3d
table_content,87141887c3cc29f638c52ab6a1b57844f6c3241d,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
table_content,8caf882cb9e42088c47425c34120dbd764484424,2,2,2,ИОС5.4.1,1724_25|1725_25,1724_25:doc_c8e972bf|1725_25:doc_10be5f2b
table_content,8e8f2beb887db6437a81719b85702385e237b065,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
table_content,9994eae239e7908eb8f676220cf7f4eb0ff5fc00,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
table_content,9e22178e742788a1efc2ac629f30ff39eac85c2b,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
table_content,a0ed09a716401e652ced90bc7545b854de58d960,2,2,2,ПОКР,1724_25|1725_25,1724_25:doc_34536dc1|1725_25:doc_32fcaa56
table_content,a516ebbd23359561449361b3ec487b6333ed61a8,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
table_content,ab232aba5fe14b3559ec1acd1bceaf1132dd09c9,2,2,2,ИОС5.4.1,1724_25|1725_25,1724_25:doc_c8e972bf|1725_25:doc_10be5f2b
table_content,b1376087f591d4c004894f195b90a3cf2af6cde0,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
table_content,c050b0fabf498fd5230c4f61b54f85fa15a24507,2,2,2,ИД,1724_25|1725_25,1724_25:doc_801fee11|1725_25:doc_df6a5246
